"K","lik"
25,-7.29625148994835
25,-7.77311992959038
25,-6.6454579678051
25,-6.67688588378025
25,-6.98429623116757
25,-7.38652799434883
25,-7.81036204738813
25,-7.213602927428
25,-7.831972579107
25,-7.11947560828256
25,-7.40314130476316
25,-7.72860889754877
25,-7.31130107569524
25,-6.75916504828351
25,-7.9338889713047
25,-7.7935452449041
25,-7.50197247915337
25,-7.61664009144723
25,-7.81525901301167
25,-7.14278398783895
25,-6.34330077493285
25,-6.66336445797163
25,-6.86132090131106
25,-8.01557521358369
25,-7.669734913207
25,-7.55064062974185
25,-7.11537304299536
25,-6.44476876402431
25,-6.98674838515498
25,-7.43503124821032
25,-7.98283570238304
25,-6.90155349467033
25,-7.28596431934079
25,-6.34899297476158
25,-6.91318906717469
25,-7.15791441195563
25,-8.39732464308893
25,-7.70778612786968
25,-7.37531149537297
25,-6.53315780847618
25,-5.40100442943191
25,-7.01819385745345
25,-7.02581777259356
25,-7.0624093990442
25,-7.28812728169978
25,-8.79366938754801
25,-6.92260059633492
25,-7.17327199792004
25,-7.2844364165673
25,-7.58059657419926
25,-7.60187681154191
25,-6.97927066951203
25,-6.91762792949917
25,-6.83692115078572
25,-7.82601302254245
25,-7.37114302398638
25,-7.29062608636188
25,-7.10152732865815
25,-8.16018597102518
25,-6.6232457858857
25,-7.04612677074959
25,-6.98116142134645
25,-7.36668853113195
25,-7.3882325704987
25,-6.895252991709
25,-7.53460093836906
25,-7.63508392623205
25,-7.18400826972243
25,-7.18815806152089
25,-7.20762784578291
25,-6.91359382229367
25,-7.35079305659583
25,-7.27959977830731
25,-7.32999915948042
25,-7.84174100850877
25,-7.66188291223857
25,-8.12748529221027
25,-7.74061661296103
25,-6.27048459507048
25,-6.26967847532276
25,-7.28256953002251
25,-8.19224081461831
25,-7.01873172855822
25,-6.63609632851261
25,-7.77546670266294
25,-7.12419747124645
25,-6.91838091880341
25,-6.64327213439022
25,-7.76960875740545
25,-7.32255803931215
25,-7.05290957216776
25,-7.09941816428949
25,-6.30128923632601
25,-7.61194148576829
25,-7.22914727141663
25,-7.22524814096242
25,-7.68182757033743
25,-7.10436567395853
25,-7.41388585984115
25,-6.05928877368792
25,-7.01110107179659
25,-7.38492392634199
25,-7.08648224659881
25,-7.43670117705255
25,-7.4350858239097
25,-7.40535329593824
25,-7.44489682172873
25,-6.78233761328062
25,-8.04469544209031
25,-7.75285322954459
25,-7.81308225023629
25,-7.77057808624349
25,-7.42424688334216
25,-7.9273498850391
25,-7.00059808261944
25,-6.21969810444572
25,-7.87467708707137
25,-7.71162580965503
25,-7.48364330285462
25,-7.76032299682148
25,-7.37345187199539
25,-7.7309536400134
25,-7.52550584846619
25,-7.28770276833736
25,-7.30371776171227
25,-6.95228524911797
25,-7.82021801186196
25,-7.68108989875099
25,-7.53900371172984
25,-7.32683855799468
25,-7.66650874205169
25,-7.31954732224203
25,-7.5111588882478
25,-6.81979082050144
25,-7.67879861446177
25,-8.21677242890812
25,-7.25274006744882
25,-7.37118256240538
25,-6.99914672800114
25,-6.32795969868587
25,-7.59939984557881
25,-7.71873618805452
25,-6.64660020895083
25,-7.79182006371084
25,-7.81729450052892
25,-7.50224263030538
25,-8.09438297889712
25,-7.18528989366109
25,-7.32644767032448
25,-6.41354043449755
25,-6.31812985358079
25,-7.07084786033659
25,-7.45511817137198
25,-7.41527042975564
25,-7.24293297929082
25,-7.15555720312081
25,-6.99629250917957
25,-6.82516792973722
25,-7.32629831696478
25,-7.1837578402579
25,-7.86488921106805
25,-7.84224818759035
25,-6.7998797182684
25,-7.76273388752225
25,-7.76469845232231
25,-7.72972703367851
25,-7.24828199891185
25,-7.57839753251207
25,-7.57215223456994
25,-7.76243728397972
25,-7.38858346906574
25,-7.83395659422243
25,-7.8463762726846
25,-7.91890230656358
25,-8.24541815540447
25,-7.52273365757577
25,-6.9647307854042
25,-6.81155882765774
25,-6.68030884240508
25,-7.11458669421239
25,-7.32097275824189
25,-8.14148093024637
25,-7.57834389136915
25,-7.52102127351072
25,-6.94711021270279
25,-6.9805464725792
25,-7.23608085005723
25,-6.78255725617743
25,-7.20768618029958
25,-7.87588294578814
25,-7.70137550341616
25,-7.11958063135097
25,-6.98809470806179
25,-6.31249049278838
25,-7.52077053508819
25,-7.15201322874452
25,-7.06657959995942
25,-7.59621818039223
25,-7.81261875941903
25,-7.15898230443975
25,-7.70370432146351
25,-7.11707022610554
25,-6.75518369295579
25,-6.49634576317256
25,-7.08599418457568
25,-6.92639259002733
25,-6.84720944890402
25,-6.91681185675596
25,-7.32980616054654
25,-6.78914113043252
25,-7.64111775640342
25,-7.53060087071737
25,-7.61638992519723
25,-7.67005937656792
25,-7.25365128934851
25,-8.48115457596237
25,-6.87672119362091
25,-7.31633601091051
25,-8.02753458825933
25,-7.02970786687643
25,-6.78150150200429
25,-7.01382945823984
25,-5.90988064457695
25,-7.3931840729156
25,-7.24879019916527
25,-7.15084468858006
25,-7.02672917569714
25,-7.58306230398568
25,-6.90658763253275
25,-7.99107391523211
25,-6.66469533882066
25,-7.0991435146503
25,-7.83152630291898
25,-6.97166203490339
25,-7.82056836358544
25,-7.46552566499114
25,-8.83234046629562
25,-7.53355391482636
25,-7.11488086337544
25,-7.14167045087651
25,-7.29236939809751
25,-7.47438997358372
25,-7.93537645681983
25,-7.46067901136518
25,-7.27678540853429
25,-6.7790127736571
25,-7.40967507078336
25,-7.66966358055611
