"K","lik"
30,-7.26871293399596
30,-6.7312288778997
30,-7.58544558469831
30,-7.36016404568911
30,-7.18766990190257
30,-7.34735669031225
30,-7.61400724580516
30,-6.82932271372338
30,-7.67491371680157
30,-7.97071537913905
30,-7.99356909759656
30,-7.07907142508125
30,-8.23101782741575
30,-7.25969510690819
30,-7.1253728839545
30,-7.33552005287843
30,-7.3631236807949
30,-6.95789627023954
30,-7.33497451019815
30,-7.74696719231672
30,-7.98610693457421
30,-8.37085277729401
30,-7.92878550512362
30,-6.66546510932299
30,-6.89898392949215
30,-6.85300718200966
30,-7.74859147399607
30,-7.11027156628501
30,-7.56060359865636
30,-6.59511907856344
30,-7.58746834487533
30,-7.10508328347957
30,-6.99915624029826
30,-7.98851094443892
30,-7.01645588399067
30,-6.80337014767788
30,-7.19752090489202
30,-7.50233790484943
30,-7.18899279244972
30,-7.65033595787066
30,-7.35051746215125
30,-7.4800340398465
30,-7.56953955837148
30,-7.23216963885792
30,-7.60904548961245
30,-7.49955241167325
30,-7.88075020812481
30,-6.53841112080042
30,-8.16862627143072
30,-7.0135221264249
30,-8.03988287544506
30,-7.46907198515964
30,-7.23840293636364
30,-8.07674273652844
30,-7.99379581931999
30,-7.37815523413244
30,-7.55922917133869
30,-7.58467257474502
30,-7.78699214025393
30,-5.27095428555406
30,-7.41587719191176
30,-7.87737144656841
30,-7.95556107177143
30,-7.26111727601778
30,-7.06603420678625
30,-7.70866072004185
30,-7.16258096114423
30,-7.50512723054254
30,-6.85550359412272
30,-7.26091457883233
30,-8.03739574109744
30,-6.55999000418738
30,-7.23954703028217
30,-7.59271764515755
30,-8.18563713546821
30,-7.35422285836445
30,-7.15665917678264
30,-7.18971213653852
30,-8.31661980424898
30,-6.78844003906576
30,-7.02662106450637
30,-7.1390196462266
30,-7.24802675199578
30,-6.97468733222972
30,-7.23942566904496
30,-6.68673240222673
30,-7.84444733431828
30,-7.46674124582388
30,-7.22757994324183
30,-7.49072209364332
30,-6.78096316628719
30,-7.47280991628069
30,-7.19680981752137
30,-7.94832563023051
30,-7.55535796575088
30,-6.61114678907889
30,-7.2934088259769
30,-7.42616973264552
30,-7.54377780564908
30,-7.08998399579147
30,-8.03261321950279
30,-7.79361020982954
30,-6.12531273107821
30,-7.21324766082146
30,-7.49167704484793
30,-8.15046323770994
30,-8.08298012011766
30,-7.21301511914112
30,-7.49487204785646
30,-7.5048968816839
30,-7.43803565040136
30,-6.77801236359321
30,-8.31704421178742
30,-7.37061886783043
30,-8.18116023686713
30,-7.12574474889693
30,-7.24030757489045
30,-7.42220288731387
30,-8.15808796034846
30,-7.13560664939443
30,-7.73368296560775
30,-7.76413169425727
30,-6.59379609965491
30,-6.88162147900382
30,-6.12029049661444
30,-7.01671162793248
30,-6.96439692993493
30,-7.71485387924449
30,-7.34735364923625
30,-7.76748991666803
30,-7.1219786918038
30,-8.58305480853816
30,-7.95003605267629
30,-7.57057094951366
30,-8.03174552684155
30,-7.30911822315758
30,-6.95397503729121
30,-7.52907796000439
30,-7.68824499791316
30,-6.38869149871366
30,-7.76522011452061
30,-7.91561618811008
30,-7.66135227591879
30,-7.92680517548895
30,-6.60980521465568
30,-7.10906163204039
30,-7.97007677101975
30,-7.48546328173822
30,-7.98071010097083
30,-7.43717855482336
30,-6.83097238107509
30,-8.05476266709033
30,-8.00914506243255
30,-7.09990514657118
30,-7.52377552898024
30,-7.38556565300045
30,-7.50281468194575
30,-6.00632063241005
30,-7.96850681405643
30,-7.34336739066899
30,-7.14821271164946
30,-7.95617719078307
30,-8.14989746754116
30,-7.58670709200686
30,-7.4634186674729
30,-7.82589012049522
30,-7.36052291818257
30,-7.94727443125996
30,-7.35416244194357
30,-7.64139838775815
30,-7.1993818546185
30,-7.07170625674126
30,-7.07494346938144
30,-6.99016027820717
30,-7.24932442884707
30,-6.93798947495571
30,-6.84122863880267
30,-7.27647567517804
30,-7.80160878558944
30,-7.64305813341848
30,-7.60919810560241
30,-7.57601962595081
30,-7.57993064527444
30,-7.61129335918892
30,-6.23312099190088
30,-6.3576004089753
30,-7.92526180587696
30,-7.89835504947093
30,-8.45010592941775
30,-7.79786892323272
30,-7.547622870482
30,-7.61660139154609
30,-7.77411993286607
30,-7.33317071157435
30,-6.5570793939329
30,-6.65682915750474
30,-7.62721807470019
30,-7.90240953353329
30,-6.68639062283935
30,-7.87463500986731
30,-7.7269931513193
30,-7.83161723007176
30,-8.07985808003932
30,-7.5934793351927
30,-6.97317341822072
30,-6.25433234755712
30,-7.48436843784131
30,-7.01407834838821
30,-7.42299985220186
30,-7.55078430034457
30,-6.98765471646902
30,-7.12166368088662
30,-6.75551789198876
30,-7.25292391654326
30,-7.64392533208201
30,-7.54104254644949
30,-6.59978913781678
30,-7.49042632654153
30,-7.253247953413
30,-7.2726795038703
30,-7.54290407416973
30,-7.24244143949522
30,-6.66342584384623
30,-7.82811727771303
30,-7.98239447287957
30,-6.80544623257154
30,-8.03766442483724
30,-7.38989615109674
30,-7.16484008101296
30,-7.6492558717934
30,-6.98952544316955
30,-6.40510117252491
30,-7.69280761445858
30,-6.94274924522812
