"K","holdout","lik"
60,1,-7.12055442641534
60,1,-7.83519728575428
60,1,-7.2840988500834
60,1,-7.10884546143989
60,1,-7.91356273501739
60,1,-6.91259553680856
60,1,-7.35021360206175
60,1,-6.67105286218662
60,1,-7.63997547339059
60,1,-6.9810390108275
60,1,-7.28746148593133
60,1,-7.09345532527556
60,1,-7.75313013203734
60,1,-6.97255513384399
60,1,-7.58644912005013
60,1,-7.51497711924043
60,1,-8.46217186052206
60,1,-7.87041683382525
60,1,-7.09259628550134
60,1,-8.34624828788178
60,1,-7.887209702716
60,1,-6.75611008331508
60,1,-7.42119106440508
60,1,-7.37745110340812
60,1,-6.9776436432896
60,1,-7.59511891105864
60,1,-7.64526096808266
60,1,-8.09313691494966
60,1,-7.91757547666096
60,1,-7.78403320005013
60,1,-6.88012785895992
60,1,-7.07455782822398
60,1,-7.25986090634397
60,1,-7.36893931146798
60,1,-7.30737841740379
60,1,-7.48342519340203
60,1,-7.52304519000973
60,1,-6.45317905839066
60,1,-7.9961291309314
60,1,-7.6912505080001
60,1,-7.57389322047426
60,1,-6.87494869796403
60,1,-6.94591764756797
60,1,-7.68651692054645
60,1,-7.21239382427663
60,1,-7.58879081182668
60,1,-7.14448837451051
60,1,-7.46162628569035
60,1,-6.71404967968591
60,1,-8.29381033981492
60,1,-7.65154638200104
60,1,-7.08539709189226
60,1,-7.54143619052811
60,1,-7.07749651546627
60,1,-7.69481940011826
60,1,-7.65840657156853
60,1,-7.22612112603247
60,1,-7.25715091034778
60,1,-7.48875343477309
60,1,-7.46187862017103
60,1,-7.64912287329582
60,1,-7.73748990500644
60,1,-7.95242009180172
60,1,-7.25536066016109
60,1,-6.95965992675003
60,1,-7.03232457961236
60,1,-7.88508480134999
60,1,-7.23139574135257
60,1,-7.44646382743292
60,1,-6.94337248315096
60,1,-8.00574120454586
60,1,-7.48978538907601
60,1,-7.34864220960096
60,1,-7.81316685345674
60,1,-7.67853395535169
60,1,-7.99787400723988
60,1,-7.86680673269126
60,1,-7.57529361621748
60,1,-7.30044181147555
60,1,-6.59087490468505
60,1,-7.2756578954562
60,1,-8.00344417706312
60,1,-7.62773055362123
60,1,-7.78383941901666
60,1,-7.75556174056278
60,1,-8.63042794132017
60,1,-7.37300265747905
60,1,-7.5020005714294
60,1,-7.36914000606774
60,1,-7.81482547022583
60,1,-6.78958111708175
60,1,-8.10834091689136
60,1,-8.30397844220256
60,1,-7.21009754666182
60,1,-7.36486340722866
60,1,-7.81109895652268
60,1,-6.80105262247805
60,1,-6.11464859777036
60,1,-7.58415766151871
60,1,-7.60992403140539
60,1,-6.82011638004362
60,1,-7.844473003362
60,1,-6.23836342888657
60,1,-7.34462403493803
60,1,-6.94675119820734
60,1,-7.34310335407954
60,1,-6.62751461414269
60,1,-6.90378839623553
60,1,-7.74546179493746
60,1,-7.14446512211915
60,1,-7.52558779211788
60,1,-7.22766427540472
60,1,-7.47723157462169
60,1,-7.93167273210151
60,1,-6.95385279472119
60,1,-7.63987702434545
60,1,-7.28474580170611
60,1,-8.0607316277222
60,1,-7.99355330886078
60,1,-7.2136371152367
60,1,-7.21278749463698
60,1,-7.63879065937858
60,1,-6.46203294164877
60,1,-6.92989867616162
60,1,-7.43043615755687
60,1,-7.17769562417804
60,1,-6.7727649143288
60,1,-7.46198442268931
60,1,-7.2760701253211
60,1,-7.82454517553719
60,1,-7.71133329087094
60,1,-6.94217933756119
60,1,-7.10937096289055
60,1,-8.37085111808974
60,1,-8.10467170661323
60,1,-7.25574975907136
60,1,-7.76264779987753
60,1,-7.15371364361129
60,1,-8.11888931039223
60,1,-8.06624871944337
60,1,-8.26231963883742
60,1,-7.66669343201756
60,1,-5.92541116194743
60,1,-7.55768030985877
60,1,-7.01762151368177
60,1,-7.2145223963724
